from_loc,to_loc,vehicle,weather,hour,dow,demand,distance_km,price
Shahbagh,Azimpur / Palashi,Car,Stormy,5,1,0.31,1.8,201.0
Khilkhet,Mugda,Bike,Regular,2,3,0.47,15.5,357.0
Shishu Mela,Pallabi,Bike,Rainy,13,1,0.37,8.4,251.0
Amtoli (Mohakhali),Mohakhali Bus Terminal,Rickshaw,Regular,3,2,0.77,0.3,66.0
Dhanmondi 27,Rajlakshmi,Bike,Stormy,20,2,0.99,18.6,898.0
Mirpur 12,Rajlakshmi,CNG,Sunny,3,2,0.57,7.5,359.0
Mazar Road,Jahangir Gate,Bus,Rainy,4,2,0.138,2.7,45.0
Shahjahanpur,Airport,Car,Sunny,9,4,0.73,14.3,822.0
Maniknagar,Kochukhet,Car,Stormy,14,0,0.32,12.8,833.0
New Market / Nilkhet,Jatrabari,Car,Stormy,23,2,0.26,7.9,565.0
Amtoli (Mohakhali),Middle Badda,Car,Stormy,1,0,0.48,4.3,370.0
Nabisco,MES,Car,Sunny,0,3,0.69,6.0,285.0
Badda,City College / Science Lab,CNG,Sunny,16,5,0.39,10.8,422.0
Ray Saheb Bazar,Press Club,Car,Rainy,2,0,0.94,2.9,257.0
Bangla Motor,Ray Saheb Bazar,Bus,Rainy,15,3,0.06,5.6,28.0
Malibagh Chowdhury Para,Khilkhet,Bike,Stormy,21,1,0.19,12.2,391.0
Rajlakshmi,Technical,Car,Rainy,5,3,0.28,14.2,817.0
Mazar Road,Jatrabari,Bike,Sunny,17,1,0.69,15.8,472.0
Merul Badda,Jahangir Gate,Car,Sunny,4,2,0.92,7.8,375.0
Kalabagan,Abdullahpur,Bus,Rainy,19,3,0.141,22.1,141.0
Shyamoli,Malibagh Chowdhury Para,Bus,Sunny,9,6,0.192,9.7,73.0
MES,Mirpur 14,Bus,Sunny,13,2,0.048,4.1,32.0
MES,Badda Link Road,Car,Sunny,16,0,0.65,6.9,323.0
Malibagh Railgate,Mazar Road,Bike,Rainy,11,6,0.5,10.6,315.0
Agargaon (IDB Bhaban),Bangla Motor,CNG,Rainy,2,4,0.68,4.9,307.0
Cantonment (Radisson),Maniknagar,Bus,Regular,21,5,0.297,13.6,84.0
Mohakhali Bus Terminal,Azampur,CNG,Rainy,2,1,0.94,15.1,895.0
Jashimuddin (Uttara),Kuril / Kuratoli (AIUB),Bus,Stormy,14,5,0.078,8.2,41.0
Mohakhali Bus Terminal,City College / Science Lab,CNG,Regular,7,2,0.4,6.9,318.0
Shishu Mela,MES,Bus,Sunny,15,6,0.033,8.3,49.0
High Court,Dhanmondi 27,Car,Rainy,9,0,0.28,5.6,556.0
Jahangir Gate,Nadda,Car,Rainy,5,2,0.24,8.2,499.0
Kalabagan,Mugda,CNG,Regular,1,3,0.5,9.1,445.0
Abul Hotel,Mirpur 14,Car,Sunny,19,6,0.46,11.7,766.0
Naya Bazar,Amtoli (Mohakhali),Car,Sunny,2,6,0.48,9.6,429.0
Notun Bazar,Sainik Club / Banani Railgate,Car,Sunny,16,5,0.61,5.8,273.0
Rajlakshmi,Kalabagan,CNG,Sunny,18,2,0.74,19.4,1138.0
Shahjahanpur,Bangla Motor,Car,Sunny,15,6,0.43,3.7,192.0
Abul Hotel,Naya Bazar,Bus,Rainy,4,4,0.048,8.4,47.0
Technical,Kalabagan,Bus,Sunny,10,0,0.069,6.0,33.0
Azampur,Kochukhet,Car,Rainy,7,2,0.73,12.6,702.0
Paltan,Jagannath University,CNG,Sunny,10,4,0.16,4.2,255.0
Mazar Road,House Building,CNG,Sunny,9,4,0.63,13.7,723.0
Middle Badda,Khilgaon Flyover,CNG,Stormy,7,0,0.58,5.1,379.0
Dhanmondi 15/32,House Building,Car,Sunny,0,3,0.35,20.1,801.0
Malibagh Chowdhury Para,Kuril / Kuratoli (AIUB),CNG,Stormy,21,0,0.8,10.1,667.0
Kakali (Banani),Shahjahanpur,Bus,Rainy,11,4,0.054,7.0,30.0
Chandpur,Shahbagh,Bus,Rainy,16,4,0.282,83.9,349.0
Gulshan 2,Kalyanpur,CNG,Sunny,21,4,0.93,8.1,316.0
City College / Science Lab,New Market / Nilkhet,Car,Rainy,9,6,0.39,1.4,207.0
Agargaon (IDB Bhaban),City College / Science Lab,Bus,Regular,20,4,0.144,5.6,52.0
Rajlakshmi,Merul Badda,CNG,Sunny,10,0,0.62,15.7,922.0
Abul Hotel,Agargaon (IDB Bhaban),CNG,Regular,11,0,0.63,7.4,342.0
Agargaon (IDB Bhaban),Naya Bazar,Car,Regular,3,5,0.83,9.6,470.0
Chairman Bari,Merul Badda,CNG,Sunny,16,4,0.25,4.3,181.0
Mohakhali Bus Terminal,Merul Badda,Bike,Regular,22,4,0.7,3.9,115.0
Shishu Mela,Kalabagan,Car,Sunny,20,1,0.54,3.7,290.0
Tikatuli,Mirpur 12,Bike,Sunny,10,4,0.26,17.3,450.0
Abdullahpur,Sayedabad Bus Terminal,Bus,Regular,12,2,0.033,27.0,129.0
Azampur,Dhanmondi 27,Bike,Rainy,9,3,0.54,19.4,783.0
College Gate,Badda Link Road,Bus,Sunny,22,4,0.144,10.8,53.0
Tikatuli,Kalyanpur,Car,Sunny,7,5,0.96,11.7,479.0
Notun Bazar,Dhanmondi 15/32,Bus,Regular,6,2,0.156,12.3,58.0
Khilkhet,High Court,CNG,Sunny,10,2,0.95,14.6,881.0
Jashimuddin (Uttara),Jatrabari,CNG,Regular,16,1,0.38,24.4,993.0
MES,Mirpur 14,Rickshaw,Rainy,11,4,0.28,4.1,130.0
High Court,Rajlakshmi,CNG,Regular,19,6,0.46,20.7,1308.0
Rajarbagh,Pallabi,Car,Stormy,18,2,0.91,15.0,1582.0
Abdullahpur,Azampur,Bike,Regular,22,1,0.13,2.0,72.0
Asad Gate,Gulistan,Bike,Regular,16,3,0.46,8.2,208.0
Jatrabari,Airport,CNG,Regular,0,3,0.12,20.6,906.0
Malibagh Chowdhury Para,Tikatuli,Car,Sunny,21,0,0.44,4.3,198.0
Satrasta,Darussalam,Bike,Rainy,20,2,0.9,4.9,238.0
Mirpur 14,Press Club,Bus,Rainy,4,0,0.252,14.4,101.0
Naya Bazar,Kakali (Banani),Bus,Regular,16,3,0.087,11.4,72.0
Technical,Malibagh Railgate,CNG,Sunny,9,3,0.45,9.9,603.0
Amtoli (Mohakhali),Khilgaon Flyover,CNG,Regular,2,6,0.35,6.0,312.0
Merul Badda,Tikatuli,CNG,Regular,19,3,0.19,8.1,538.0
Abdullahpur,Asad Gate,Bike,Sunny,5,6,0.29,20.0,411.0
MES,Farmgate,CNG,Rainy,19,1,0.63,7.9,695.0
Cantonment (Radisson),Technical,Bus,Regular,5,4,0.12299999999999998,6.3,30.0
Maniknagar,Gulshan 2,Bus,Sunny,19,3,0.11399999999999999,11.6,83.0
Khilgaon Flyover,Jashimuddin (Uttara),CNG,Sunny,20,2,0.7,18.7,1106.0
Mirpur 11,Jagannath University,Bike,Regular,18,3,0.33,17.1,552.0
Mirpur 14,Bashundhara / Jamuna FP,CNG,Regular,1,3,0.7,7.3,373.0
Kochukhet,Mirpur 14,Car,Sunny,11,0,0.36,5.1,234.0
Kamalapur,Press Club,Car,Sunny,23,5,0.37,1.4,110.0
Dhanmondi 27,Karwan Bazar,Bike,Regular,12,4,0.45,3.2,86.0
Chandpur,College Gate,Car,Sunny,17,6,0.7,88.5,5301.0
Mirpur 2,Naya Bazar,CNG,Sunny,19,4,0.87,13.4,731.0
Notun Bazar,Maniknagar,Car,Regular,20,1,0.93,10.9,794.0
Bangla Motor,Nadda,Bus,Sunny,6,2,0.252,10.1,59.0
Sainik Club / Banani Railgate,Chandpur,CNG,Regular,2,3,0.68,91.2,3883.0
Notun Bazar,Shahbagh,CNG,Sunny,17,4,0.93,10.6,582.0
Middle Badda,Kakali (Banani),Bike,Sunny,5,3,0.49,4.8,134.0
Jatrabari,Shishu Mela,Bus,Sunny,23,3,0.033,13.0,69.0
Press Club,Kuril / Kuratoli (AIUB),Bus,Sunny,12,5,0.24,13.5,63.0
New Market / Nilkhet,MES,Car,Rainy,7,3,0.6,11.9,665.0
Mugda,Jashimuddin (Uttara),Bus,Sunny,12,3,0.22499999999999998,21.3,103.0
Mugda,Mirpur 2,Bike,Regular,7,4,0.72,14.4,299.0
Technical,Shishu Mela,Car,Sunny,22,4,0.88,2.4,133.0
Maniknagar,Abul Hotel,Bus,Regular,0,5,0.252,7.3,56.0
Bangla Motor,Agargaon (IDB Bhaban),Bike,Regular,4,1,0.41,4.9,144.0
Merul Badda,Gulshan 2,Car,Sunny,16,4,0.58,3.6,166.0
Azimpur / Palashi,Agargaon (IDB Bhaban),CNG,Regular,21,5,0.34,7.0,312.0
Press Club,Kamalapur,Bus,Sunny,8,0,0.24,1.4,44.0
Malibagh Chowdhury Para,Kalabagan,Bus,Rainy,20,0,0.153,7.4,53.0
Ray Saheb Bazar,Kalabagan,CNG,Regular,15,6,0.56,6.2,297.0
Jahangir Gate,Kalyanpur,Rickshaw,Regular,2,6,0.72,2.5,120.0
Nadda,Kalabagan,Bus,Regular,19,2,0.17099999999999999,11.7,94.0
Karwan Bazar,Mirpur 1,CNG,Sunny,19,1,0.32,7.2,437.0
Nadda,Shahjahanpur,CNG,Regular,12,1,0.2,8.5,380.0
Rajarbagh,Mirpur 11,CNG,Stormy,1,3,0.7,14.2,988.0
Dhanmondi 27,Azampur,CNG,Regular,3,1,0.57,19.4,876.0
Dhanmondi 27,Satrasta,Rickshaw,Sunny,5,6,0.3,3.6,130.0
Farmgate,Merul Badda,CNG,Rainy,15,6,0.84,6.9,418.0
Shahjahanpur,Mirpur 2,Bike,Sunny,4,2,0.57,10.5,238.0
Mirpur 2,Jashimuddin (Uttara),Bike,Rainy,22,6,0.75,10.9,313.0
Kakali (Banani),Mirpur 11,Bike,Rainy,12,5,0.98,6.4,207.0
Kuril / Kuratoli (AIUB),Rajlakshmi,Bus,Sunny,21,1,0.219,9.5,62.0
Technical,Shishu Mela,Car,Rainy,21,3,0.79,2.4,201.0
Jahangir Gate,Abdullahpur,Car,Sunny,22,5,0.42,16.8,641.0
Technical,New Market / Nilkhet,CNG,Rainy,14,2,0.14,8.0,429.0
House Building,Azimpur / Palashi,Bus,Stormy,7,6,0.264,22.4,116.0
Kalabagan,Rajarbagh,Bus,Regular,22,1,0.243,7.2,57.0
House Building,Notun Bazar,Bus,Regular,9,4,0.039,16.3,101.0
Mazar Road,Tikatuli,Bike,Rainy,9,3,0.67,13.0,544.0
Bashundhara / Jamuna FP,Agargaon (IDB Bhaban),CNG,Sunny,9,6,0.64,7.9,491.0
Gulshan 1,Jahangir Gate,Bike,Stormy,13,0,0.96,5.0,224.0
Mohakhali Bus Terminal,Gulshan 1,Rickshaw,Sunny,3,6,0.49,1.0,75.0
Bangla Motor,Merul Badda,Car,Stormy,12,2,0.49,7.4,527.0
Kalabagan,Rajarbagh,Bus,Regular,5,2,0.255,7.2,46.0
Sainik Club / Banani Railgate,Badda Link Road,Bus,Regular,15,5,0.282,5.0,41.0
Pallabi,Nadda,Car,Regular,4,1,0.95,9.2,452.0
Paltan,Chandpur,Car,Stormy,7,5,0.21,81.9,4804.0
Mazar Road,Agargaon (IDB Bhaban),Rickshaw,Sunny,3,5,0.51,3.0,139.0
MES,Mirpur 12,Bike,Rainy,7,5,0.66,5.3,184.0
House Building,Kuril / Kuratoli (AIUB),Bus,Sunny,12,5,0.219,11.1,59.0
Notun Bazar,Paltan,Bus,Sunny,4,4,0.174,9.8,70.0
Technical,Airport,Bus,Sunny,18,1,0.096,11.1,77.0
Merul Badda,Technical,Car,Sunny,23,0,0.14,10.0,418.0
Malibagh Railgate,Azimpur / Palashi,CNG,Stormy,13,1,0.38,6.2,450.0
Asad Gate,Shishu Mela,Rickshaw,Stormy,15,0,0.12,1.2,86.0
Jahangir Gate,Karwan Bazar,CNG,Rainy,15,1,0.86,4.3,298.0
College Gate,Mohakhali Bus Terminal,Bus,Rainy,12,5,0.156,6.4,56.0
Chandpur,Press Club,Bus,Rainy,20,2,0.12299999999999998,82.0,486.0
Khilkhet,Badda,Car,Sunny,4,5,0.74,8.2,385.0
Jagannath University,Azampur,Bike,Regular,20,2,0.82,26.0,834.0
House Building,Dhanmondi 15/32,Bike,Regular,15,1,0.99,20.1,421.0
Sayedabad Bus Terminal,Kochukhet,Car,Sunny,13,5,0.83,12.6,515.0
Amtoli (Mohakhali),Jatrabari,CNG,Rainy,8,2,0.15,11.6,969.0
Asad Gate,Jagannath University,Bike,Sunny,8,3,0.63,9.3,305.0
Mohakhali Bus Terminal,House Building,Car,Regular,20,3,0.16,15.5,1071.0
New Market / Nilkhet,Pallabi,CNG,Rainy,15,6,0.27,13.6,728.0
Amtoli (Mohakhali),Kalabagan,Car,Rainy,3,6,0.11,7.1,440.0
Pallabi,Rajarbagh,Bike,Regular,20,5,1.0,15.0,511.0
Sayedabad Bus Terminal,Ray Saheb Bazar,Rickshaw,Sunny,16,5,0.19,3.4,90.0
Kuril / Kuratoli (AIUB),Dhanmondi 27,Bus,Sunny,19,0,0.045,13.1,87.0
Rampura Bridge,Sayedabad Bus Terminal,Bike,Sunny,5,5,0.57,6.8,169.0
Maniknagar,Shishu Mela,Bike,Regular,16,4,0.95,12.4,254.0
Abdullahpur,Kalyanpur,Bus,Rainy,17,3,0.081,17.4,123.0
Shishu Mela,Shyamoli,Car,Stormy,15,4,0.62,0.6,107.0
Dhanmondi 27,MES,Bike,Rainy,15,6,0.97,9.9,303.0
Rampura Bridge,MES,Bus,Stormy,17,4,0.072,8.5,61.0
Khilkhet,Middle Badda,Car,Sunny,9,0,0.84,8.6,590.0
Press Club,Gulistan,Bike,Rainy,20,3,0.76,1.2,126.0
Shahjahanpur,Gulistan,Car,Rainy,4,4,0.85,3.5,248.0
Middle Badda,Airport,CNG,Rainy,0,6,0.38,10.6,651.0
Kochukhet,Middle Badda,CNG,Sunny,19,6,0.41,6.3,415.0
Kuril / Kuratoli (AIUB),Nabisco,CNG,Sunny,21,5,0.94,8.6,359.0
MES,Mazar Road,Car,Sunny,15,1,0.58,5.7,241.0
Mazar Road,Rampura Bridge,Bus,Stormy,21,4,0.129,10.3,57.0
MES,Mirpur 12,CNG,Sunny,6,6,0.81,5.3,246.0
Technical,Mirpur 2,CNG,Sunny,21,1,0.52,3.1,173.0
Mohakhali Bus Terminal,Maniknagar,Bike,Regular,14,3,0.17,10.1,234.0
Gulistan,Malibagh Chowdhury Para,CNG,Rainy,11,1,0.66,4.5,293.0
Kalyanpur,Merul Badda,Bike,Rainy,22,1,0.29,10.3,300.0
Chairman Bari,Middle Badda,Bike,Rainy,16,5,0.15,4.5,144.0
Technical,House Building,Bus,Sunny,7,4,0.168,15.2,61.0
Satrasta,Mugda,Bike,Sunny,12,6,0.44,8.7,170.0
Rampura Bridge,Shahjahanpur,Bus,Rainy,21,1,0.162,2.7,27.0
Nabisco,Maniknagar,Bike,Sunny,19,1,0.24,9.7,300.0
Abdullahpur,House Building,Rickshaw,Rainy,4,5,0.36,1.6,110.0
Azampur,Jashimuddin (Uttara),Bus,Regular,14,2,0.135,2.4,20.0
Mirpur 11,Pallabi,Car,Stormy,9,2,0.82,0.9,216.0
Karwan Bazar,Amtoli (Mohakhali),Car,Rainy,2,0,0.7,4.8,337.0
Mirpur 11,Kuril / Kuratoli (AIUB),Car,Regular,6,4,0.28,8.2,328.0
Airport,Khilgaon Flyover,Bus,Sunny,9,6,0.17099999999999999,14.8,99.0
Farmgate,Mirpur 12,Bike,Sunny,8,1,0.88,10.8,347.0
Sayedabad Bus Terminal,Amtoli (Mohakhali),CNG,Regular,0,3,0.45,10.2,492.0
Azampur,Kuril / Kuratoli (AIUB),Bus,Regular,14,3,0.048,10.5,80.0
Kochukhet,Bashundhara / Jamuna FP,Bike,Sunny,12,0,0.17,4.6,110.0
Rampura Bridge,MES,Bike,Rainy,2,2,0.31,8.5,276.0
Shahbagh,Kalabagan,Car,Regular,14,0,0.28,2.6,173.0
House Building,Abul Hotel,Bus,Regular,9,4,0.069,18.4,110.0
Shahjahanpur,Notun Bazar,Bike,Regular,4,5,0.29,7.5,188.0
Malibagh Railgate,Kakali (Banani),CNG,Regular,17,4,0.33,7.0,434.0
Agargaon (IDB Bhaban),Shishu Mela,Bike,Sunny,3,3,0.34,3.0,92.0
Mugda,Bashundhara / Jamuna FP,Bike,Rainy,10,4,0.66,12.3,482.0
Sayedabad Bus Terminal,Gulshan 1,Bus,Regular,20,6,0.216,9.8,70.0
Kochukhet,Bangla Motor,Bike,Sunny,2,1,0.79,7.2,192.0
Kalyanpur,Shahjahanpur,Bus,Rainy,14,1,0.126,9.1,48.0
Satrasta,Abul Hotel,Bus,Sunny,3,0,0.276,5.9,53.0
Shahjahanpur,Kalyanpur,Bus,Stormy,17,3,0.207,9.1,69.0
Shahjahanpur,Gulistan,Bus,Regular,0,3,0.20400000000000001,3.5,36.0
Mirpur 12,Rajlakshmi,Bike,Sunny,6,1,0.63,7.5,170.0
House Building,Karwan Bazar,Bus,Sunny,3,1,0.126,19.2,103.0
Gulshan 2,Middle Badda,Car,Stormy,18,1,0.62,3.7,460.0
Tikatuli,Shishu Mela,Bus,Sunny,9,5,0.063,10.2,58.0
Sainik Club / Banani Railgate,Dhanmondi 15/32,Bike,Rainy,11,3,0.47,8.7,255.0
Cantonment (Radisson),Karwan Bazar,CNG,Sunny,7,6,0.4,7.6,324.0
Bangla Motor,Khilgaon Flyover,CNG,Sunny,10,3,0.28,4.8,326.0
Mirpur 11,Rajlakshmi,Bus,Sunny,0,1,0.186,9.1,71.0
High Court,Jahangir Gate,Car,Rainy,19,6,0.27,7.5,718.0
College Gate,Notun Bazar,Car,Rainy,15,3,0.19,12.2,658.0
Shyamoli,Shahjahanpur,Bike,Rainy,12,4,0.12,8.5,212.0
Shishu Mela,Paltan,Car,Rainy,21,3,0.25,8.6,488.0
Shyamoli,Khilkhet,Bus,Sunny,14,1,0.111,12.2,58.0
Shishu Mela,Kalyanpur,Car,Sunny,1,6,0.72,1.7,133.0
MES,Gulistan,Bus,Rainy,0,6,0.09,12.9,80.0
Kakali (Banani),Farmgate,CNG,Rainy,11,4,0.17,5.8,303.0
Jashimuddin (Uttara),Rampura Bridge,Bus,Sunny,20,3,0.10200000000000001,16.5,79.0
Azampur,Kalabagan,Bike,Sunny,23,3,0.39,20.3,420.0
Gulshan 2,Darussalam,CNG,Rainy,18,4,0.81,7.4,599.0
Jashimuddin (Uttara),Farmgate,Bus,Regular,12,1,0.06,16.5,88.0
Darussalam,Sainik Club / Banani Railgate,CNG,Sunny,9,2,0.85,6.3,417.0
Kochukhet,Bashundhara / Jamuna FP,Bike,Regular,20,5,0.96,4.6,199.0
Nadda,Agargaon (IDB Bhaban),Bus,Rainy,21,6,0.288,8.0,43.0
Cantonment (Radisson),MES,Rickshaw,Regular,16,1,0.54,1.1,69.0
Farmgate,College Gate,Bus,Sunny,15,5,0.23399999999999999,3.3,28.0
Chairman Bari,Agargaon (IDB Bhaban),Rickshaw,Rainy,3,0,0.94,4.2,203.0
Kalyanpur,High Court,Car,Regular,23,5,0.6,8.8,432.0
Rajarbagh,House Building,Car,Sunny,7,3,0.11,22.2,824.0
House Building,Mirpur 10,Bike,Rainy,0,1,0.41,11.0,336.0
Naya Bazar,Khilgaon Flyover,CNG,Stormy,0,2,0.37,5.3,422.0
Mirpur 14,Amtoli (Mohakhali),Car,Sunny,2,6,0.78,7.6,358.0
Bashundhara / Jamuna FP,Rajlakshmi,Bus,Regular,12,5,0.24,10.2,61.0
High Court,Badda,CNG,Sunny,22,4,0.65,8.8,326.0
Middle Badda,Rampura Bridge,Bus,Regular,14,6,0.282,2.7,45.0
Bangla Motor,Asad Gate,Bus,Stormy,22,6,0.084,3.7,24.0
Tikatuli,Azampur,Bus,Rainy,14,6,0.039,23.7,116.0
Mugda,Nadda,Bus,Rainy,16,6,0.075,11.0,70.0
Kalabagan,Mirpur 2,Bike,Sunny,16,0,0.34,8.7,181.0
Airport,Gulshan 1,CNG,Regular,21,3,0.3,9.4,414.0
Satrasta,House Building,Bike,Sunny,6,5,0.75,17.3,327.0
Rampura Bridge,Shishu Mela,Bike,Rainy,5,0,0.71,9.3,297.0
Jatrabari,Shyamoli,Bus,Rainy,23,6,0.039,13.6,100.0
Dhanmondi 27,Khilgaon Flyover,CNG,Sunny,19,5,0.9,8.0,511.0
Farmgate,Merul Badda,CNG,Sunny,19,3,0.48,6.9,450.0
Malibagh Chowdhury Para,Azimpur / Palashi,Car,Sunny,16,3,0.46,6.9,306.0
Rajlakshmi,Pallabi,Car,Sunny,12,5,0.48,8.3,346.0
City College / Science Lab,Dhanmondi 27,Bike,Rainy,10,5,0.75,2.1,145.0
Badda,Kamalapur,Bus,Sunny,14,3,0.033,8.4,60.0
Rampura Bridge,Nadda,CNG,Sunny,3,1,0.9,6.3,315.0
Nadda,Jashimuddin (Uttara),Car,Rainy,10,2,0.29,10.5,965.0
